id,restaurant,category,price_tier,neighborhood,opening_hour,closing_hour,average_rating,good_for_kids
1,Bitchip,Azerbaijan,expensive,Financial District,10:00,21:00,3,true
2,Holdlamis,Macedonia,cheap,Flatiron District,10:00,21:00,2,true
3,Lotstring,China,cheap,Brooklyn Heights,10:00,21:00,3,false
4,Cardify,Ukraine,expensive,Columbia Street Waterfront District,10:00,21:00,3,false
5,Mat Lam Tam,China,medium,Queensbridge,10:00,21:00,4,true
6,Alphazap,Mongolia,cheap,Gowanus,10:00,21:00,2,false
7,Flexidy,Brazil,cheap,Williamsburg,10:00,21:00,2,true
8,Tempsoft,United States,medium,SoHo,10:00,21:00,4,true
9,Zamit,China,medium,Red Hook,10:00,21:00,2,false
10,Redhold,China,cheap,Greenpoint,10:00,21:00,5,false
11,Fix San,Poland,cheap,Upper East Side,10:00,21:00,1,false
12,Vagram,China,expensive,East Harlem,10:00,21:00,4,true
13,Cardguard,Indonesia,medium,Little Italy,10:00,21:00,1,true
14,Zontrax,Japan,medium,Park Slope,10:00,21:00,1,false
15,Zoolab,Botswana,medium,East Harlem,10:00,21:00,4,true
16,Quo Lux,Poland,expensive,East Harlem,10:00,21:00,3,false
17,Aerified,Ireland,cheap,Columbia Street Waterfront District,10:00,21:00,2,true
18,Fix San,United States,expensive,Greenpoint,10:00,21:00,5,true
19,Redhold,Sweden,expensive,Long Island City,10:00,21:00,4,true
20,Solarbreeze,Sweden,expensive,Koreatown,10:00,21:00,5,true
21,Overhold,Venezuela,expensive,East Harlem,10:00,21:00,3,true
22,Duobam,Sweden,medium,Long Island City,10:00,21:00,4,true
23,Tempsoft,Philippines,expensive,Kips Bay,10:00,21:00,3,true
24,Aerified,Kosovo,medium,SoHo,10:00,21:00,2,true
25,Tres-Zap,Japan,medium,Upper East Side,10:00,21:00,3,true
26,Tres-Zap,Canada,medium,Flushing,10:00,21:00,4,false
27,Cardguard,Portugal,medium,Tribeca,10:00,21:00,5,false
28,Vagram,Poland,expensive,Inwood,10:00,21:00,5,false
29,Zaam-Dox,Sweden,expensive,Inwood,10:00,21:00,2,true
30,Stronghold,Guatemala,medium,Carroll Gardens,10:00,21:00,3,false
31,Aerified,China,expensive,Queensbridge,10:00,21:00,1,false
32,Matsoft,Portugal,cheap,Koreatown,10:00,21:00,5,false
33,Matsoft,Japan,medium,Columbia Street Waterfront District,10:00,21:00,1,true
34,Temp,Egypt,cheap,SoHo,10:00,21:00,4,true
35,Tres-Zap,Colombia,medium,Kips Bay,10:00,21:00,4,true
36,Tempsoft,China,medium,Queensbridge,10:00,21:00,3,false
37,Aerified,Sweden,expensive,Two Bridges,10:00,21:00,4,true
38,Hatity,Serbia,medium,Astoria,10:00,21:00,3,false
39,Lotlux,United States,expensive,Jackson Heights,10:00,21:00,1,false
40,Mat Lam Tam,Kyrgyzstan,expensive,Stuyvesant Town,10:00,21:00,3,false
41,Stronghold,Uzbekistan,medium,Ridgewood,10:00,21:00,3,false
42,Fintone,Philippines,cheap,Boerum Hill,10:00,21:00,2,false
43,Fix San,France,expensive,Long Island City,10:00,21:00,4,true
44,Konklab,China,cheap,Carroll Gardens,10:00,21:00,3,true
45,Tampflex,China,medium,Yorkville,10:00,21:00,3,false
46,Mat Lam Tam,Australia,medium,Flatiron District,10:00,21:00,5,false
47,Stringtough,Philippines,cheap,Flushing,10:00,21:00,4,true
48,Cardguard,Sweden,medium,Midtown,10:00,21:00,1,true
49,Viva,Canada,expensive,Boerum Hill,10:00,21:00,4,false
50,Fixflex,Poland,cheap,Two Bridges,10:00,21:00,5,true
51,Duobam,Czech Republic,expensive,Morningside Heights,10:00,21:00,5,false
52,Lotlux,Mexico,cheap,Stuyvesant Town,10:00,21:00,5,true
53,Transcof,Jordan,medium,Carroll Gardens,10:00,21:00,5,false
